Item,Category,Quarter,FinancialYear,Value,Period Type
Domestic Cargo (MMT),Volumes,Q1,2021-22,84.36,Quarter
International Cargo (MMT),Volumes,Q1,2021-22,0,Quarter
Total Cargo (MMT),Volumes,Q1,2021-22,84.36,Quarter
Port Operating Revenue,Revenue,Q1,2021-22,3483.85,Quarter
Dredging ,Revenue,Q1,2021-22,166.92,Quarter
Trading in APTPL,Revenue,Q1,2021-22,0,Quarter
SRCPL,Revenue,Q1,2021-22,114.48,Quarter
SEIS,Revenue,Q1,2021-22,0,Quarter
Port Revenue,Revenue,Q1,2021-22,3765.25,Quarter
Logistic including AALL,Revenue,Q1,2021-22,268.11,Quarter
International Operations,Revenue,Q1,2021-22,142.99,Quarter
Port Development and SEZ,Revenue,Q1,2021-22,740.98,Quarter
Others (KAPL),Revenue,Q1,2021-22,65.97,Quarter
Total Revenue,,Q1,2021-22,4983.3,Quarter
Operating Revenue per MMT,,Q1,2021-22,412.99,Quarter
Operating Revenue per MMT Market,,Q1,2021-22,446.35,Quarter
Port Operating Expenses,Operating Expenses,Q1,2021-22,697.88,Quarter
Dredging Expenses,Operating Expenses,Q1,2021-22,88.17,Quarter
SRCPL Expenses,Operating Expenses,Q1,2021-22,8.26,Quarter
Logistic including AALL Operating Expenses,Operating Expenses,Q1,2021-22,185.04,Quarter
International Operations Expenses,Operating Expenses,Q1,2021-22,56.97,Quarter
Port Development and SEZ,Operating Expenses,Q1,2021-22,588.75,Quarter
Others (KAPL),Operating Expenses,Q1,2021-22,28,Quarter
Total Operating Expenses,,Q1,2021-22,195.48,Quarter
Operating Expenses per MMT,,Q1,2021-22,82.73,Quarter
Port Employee Costs,Employee Costs,Q1,2021-22,134.6,Quarter
Logistic including AALL,Employee Costs,Q1,2021-22,11.47,Quarter
International Operations,Employee Costs,Q1,2021-22,47.61,Quarter
Others (KAPL),Employee Costs,Q1,2021-22,1.8,Quarter
Total Employee Costs,,Q1,2021-22,195.48,Quarter
Port Admin Expenses,Admin Expenses ,Q1,2021-22,169.39,Quarter
Logistic including AALL,Admin Expenses ,Q1,2021-22,10.03,Quarter
International Operations,Admin Expenses ,Q1,2021-22,24.52,Quarter
Port Development and SEZ,Admin Expenses ,Q1,2021-22,0,Quarter
Others (KAPL),Admin Expenses ,Q1,2021-22,0,Quarter
One Time ,Admin Expenses ,Q1,2021-22,210.11,Quarter
Total Admin Expenses,,Q1,2021-22,414.05,Quarter
Total  EBIDTA ,,Q1,2021-22,2720.7,Quarter
